# OneMapToRuleThemAll — default object catalog (shipped)
# This is the catalog a fresh install starts from. It is AUTHORITATIVE and is
# never overwritten once written. Edit it to change what is tracked, or delete
# it and run om_gencatalog to regenerate against the current game version.
#
# Built from the game itself, not from keyword guesses:
#   category = the prefab's components
#   name     = HoverText, else the dropped item's localized name
#   icon     = the ObjectDB item the object actually drops
#   biome    = ZoneSystem vegetation/location data
#
# Rows are grouped by name: prefabs the game calls the same thing share one
# row, one toggle and one pin label. The exact prefabs behind each row are
# listed in the trailing comment, so identity is per-prefab, not by substring.
#
# COMMENTED rows are tracked=OFF by default. Uncomment to enable.
#
# Row ORDER is irrelevant: objects resolve by exact prefab name, not by
# substring, so rows are sorted purely for readability.
#
# Format:  Biome | Type | Keyword | Display | Abbr | Icon
#   Abbr defaults to the Display in PascalCase with separators removed
#   (Copper vein -> CopperVein). It is the label drawn on the pin, so edit
#   it freely; blank falls back to a Display truncation.
#
# Trailing comment: the exact prefabs behind the row, then the evidence for
# how it was classified.
#   bsrc=data     biome read from ZoneSystem vegetation / SpawnSystem / locations
#   bsrc=curated  no placement table lists this prefab; value hand-checked
#   bsrc=name     inferred from the prefab-name prefix (a guess)
#   bsrc=none     no biome could be determined at all
#   type/tier/pick/chop  the Destructible fields the Ore-vs-Tree call used

# ── Creature ──────────────────────────────────────────
AshLands | Creature | Asksvin | Asksvin | Asksvin |    # Asksvin bsrc=data
AshLands | Creature | AsksvinHatchling | Asksvin Hatchling | AsksvinHatchling |    # Asksvin_hatchling bsrc=curated
AshLands | Creature | Bonemaw | Bonemaw | Bonemaw |    # BonemawSerpent bsrc=data
AshLands | Creature | CharredMarksman | Charred Marksman | CharredMarksman |    # Charred_Archer bsrc=data
AshLands | Creature | CharredTwitcher | Charred Twitcher | CharredTwitcher |    # Charred_Twitcher bsrc=data
AshLands | Creature | CharredWarlock | Charred Warlock | CharredWarlock |    # Charred_Mage bsrc=name
AshLands | Creature | CharredWarrior | Charred Warrior | CharredWarrior |    # Charred_Melee bsrc=data
AshLands | Creature | FallenValkyrie | Fallen Valkyrie | FallenValkyrie |    # FallenValkyrie bsrc=data
AshLands | Creature | LavaBlob | Lava Blob | LavaBlob |    # BlobLava bsrc=data
AshLands | Creature | LordReto | Lord Reto | LordReto |    # Charred_Melee_Dyrnwyn bsrc=name
AshLands | Creature | Morgen | Morgen | Morgen |    # Morgen, Morgen_NonSleeping bsrc=data
# AshLands | Creature | SummonedCharredWarrior | Summoned Charred Warrior | SummonedCharredWarrior |    # Charred_Archer_Fader, Charred_Melee_Fader bsrc=name
# AshLands | Creature | SummonedTwitcher | Summoned Twitcher | SummonedTwitcher |    # Charred_Twitcher_Summoned bsrc=name
AshLands | Creature | Volture | Volture | Volture |    # Volture bsrc=data
BlackForest | Creature | Bear | Bear | Bear |    # Bjorn bsrc=data
# BlackForest | Creature | Brenna | Brenna | Brenna |    # Skeleton_Hildir, Skeleton_Hildir_nochest bsrc=curated
BlackForest | Creature | Greydwarf | Greydwarf | Greydwarf |    # Greydwarf bsrc=data
BlackForest | Creature | GreydwarfBrute | Greydwarf Brute | GreydwarfBrute |    # Greydwarf_Elite bsrc=data
BlackForest | Creature | RancidRemains | Rancid Remains | RancidRemains |    # Skeleton_Poison bsrc=curated
# BlackForest | Creature | SummonedTroll | Summoned Troll | SummonedTroll |    # Troll_Summoned bsrc=name
# BlackForest | Creature | TheElder | The Elder | TheElder |    # gd_king bsrc=curated
BlackForest | Creature | Troll | Troll | Troll |    # Troll bsrc=data
# Mountain | Creature | Bat | Bat | Bat |    # Bat bsrc=author
# Swamp | Creature | Bonemass | Bonemass | Bonemass |    # Bonemass bsrc=author
# General | Creature | Chicken | Chicken | Chicken |    # Chicken bsrc=none
# Meadows | Creature | Eikthyr | Eikthyr | Eikthyr |    # Eikthyr bsrc=author
# AshLands | Creature | Fader | Fader | Fader |    # Fader bsrc=author
BlackForest | Creature | Ghost | Ghost | Ghost |    # Ghost bsrc=author
# General | Creature | Hen | Hen | Hen |    # Hen bsrc=none
# General | Creature | Mistile | Mistile | Mistile |    # Mistile bsrc=none
Swamp | Creature | Surtling | Surtling | Surtling |    # Surtling bsrc=author
# General | Creature | TrainingDummy | TrainingDummy | TrainingDummy |    # TrainingDummy bsrc=none
Mountain | Creature | Ulv | Ulv | Ulv |    # Ulv bsrc=author
Meadows | Creature | Boar | Boar | Boar |    # Boar bsrc=data
Meadows | Creature | Deer | Deer | Deer |    # Deer bsrc=data
Swamp | Creature | Draugr | Draugr | Draugr |    # Draugr, Draugr_Ranged bsrc=author
Plains | Creature | Fuling | Fuling | Fuling |    # Goblin, GoblinArcher bsrc=author
BlackForest | Creature | GreydwarfShaman | Greydwarf Shaman | GreydwarfShaman |    # Greydwarf_Shaman bsrc=author
Meadows | Creature | Greyling | Greyling | Greyling |    # Greyling bsrc=data
Meadows | Creature | Neck | Neck | Neck |    # Neck bsrc=data
Meadows | Creature | Piggy | Piggy | Piggy |    # Boar_piggy bsrc=curated
BlackForest | Creature | Skeleton | Skeleton | Skeleton |    # Skeleton, Skeleton_NoArcher bsrc=author
# Mistlands | Creature | DvergerTest | DvergerTest | DvergerTest |    # DvergerTest bsrc=name
Mistlands | Creature | DvergrMage | Dvergr Mage | DvergrMage |    # DvergerMage, DvergerMageFire, DvergerMageIce, DvergerMageSupport bsrc=name
Mistlands | Creature | DvergrRogue | Dvergr Rogue | DvergrRogue |    # Dverger, DvergerAshlands bsrc=data
Mistlands | Creature | Gjall | Gjall | Gjall |    # Gjall bsrc=data
Mistlands | Creature | Hare | Hare | Hare |    # Hare bsrc=data
Mistlands | Creature | Hive | Hive | Hive |    # Hive bsrc=curated
Mistlands | Creature | Seeker | Seeker | Seeker |    # Seeker bsrc=data
Mistlands | Creature | SeekerBrood | Seeker Brood | SeekerBrood |    # SeekerBrood bsrc=data
Mistlands | Creature | SeekerSoldier | Seeker Soldier | SeekerSoldier |    # SeekerBrute bsrc=data
# Mistlands | Creature | Skelett | Skelett | Skelett |    # Skeleton_Friendly bsrc=curated
# Mistlands | Creature | TheQueen | The Queen | TheQueen |    # SeekerQueen bsrc=name
# Mistlands | Creature | TheHive | TheHive | TheHive |    # TheHive bsrc=curated
Mistlands | Creature | Tick | Tick | Tick |    # Tick bsrc=data
Mountain | Creature | Cultist | Cultist | Cultist |    # Fenring_Cultist bsrc=curated
Mountain | Creature | Drake | Drake | Drake |    # Hatchling bsrc=data
Mountain | Creature | Fenring | Fenring | Fenring |    # Fenring bsrc=data
